name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie,age_at_win
David Lean,1908.0,1908-03-25,"Croydon, Surrey, England",White,Unknown,Straight,1963.0,Best Director,Lawrence of Arabia,55.0
David Lean,1908.0,1908-03-25,"Croydon, Surrey, England",White,Unknown,Straight,1958.0,Best Director,The Bridge on the River Kwai,50.0
Bette Davis,1908.0,1908-04-05,"Lowell, Ma",White,Unknown,Straight,1939.0,Best Actress,Jezebel,31.0
Bette Davis,1908.0,1908-04-05,"Lowell, Ma",White,Unknown,Straight,1936.0,Best Actress,Dangerous,28.0
David Niven,1909.0,1909-03-01,"London, England",White,Unknown,Straight,1959.0,Best Actor,Separate Tables,50.0
Jessica Tandy,1909.0,1909-06-07,"London, England",White,Unknown,Straight,1990.0,Best Actress,Driving Miss Daisy,81.0
Burl Ives,1909.0,1909-06-14,"Hunt City, Il",White,Unknown,Straight,1959.0,Best Supporting Actor,The Big Country,50.0
Jose Ferrer,1909.0,1909-01-08,"Santurce, Puerto Rico",Hispanic,Unknown,Straight,1951.0,Best Actor,Cyrano de Bergerac,42.0
Elia Kazan,1909.0,1909-09-07,"Istanbul, Turkey",White,Unknown,Straight,1955.0,Best Director,On the Waterfront,46.0
Elia Kazan,1909.0,1909-09-07,"Istanbul, Turkey",White,Unknown,Straight,1948.0,Best Director,Gentleman's Agreement,39.0
Joseph L. Mankiewicz,1909.0,1909-02-11,"Wilkes-Barre, Pa",White,Jewish,Straight,1950.0,Best Director,A Letter to Three Wives,41.0
Joseph L. Mankiewicz,1909.0,1909-02-11,"Wilkes-Barre, Pa",White,Jewish,Straight,1951.0,Best Director,All About Eve,42.0
Van Heflin,1910.0,1910-12-13,"Walters, Ok",White,Unknown,Straight,1943.0,Best Supporting Actor,Johnny Eager,33.0
Claire Trevor,1910.0,1910-03-08,New York City,White,Unknown,Straight,1949.0,Best Supporting Actress,Key Largo,39.0
